,0,1,2,3,4,5,6,7
0,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799
1,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,2.010540724
2,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,2.51009
3,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863
4,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.947084427
5,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015
6,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582
7,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904
8,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,1.612325668
9,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794
10,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2.837154865
11,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032
12,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462
13,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919
14,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334
15,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,2.065429688
16,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305
17,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782
18,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674
19,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,2.451861858
20,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0.0,1.892172575
21,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,2.20726943
22,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224
23,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947
24,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343
25,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,1.357508659
26,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637
27,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
28,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,1.832909822
29,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309
30,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2.218113422
31,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854
32,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091
33,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002
34,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.0,0.043289777,1.749221563
35,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181
36,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2.015769958
37,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286
38,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655
39,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,1.668190956
40,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328
41,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039
42,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796
43,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465
44,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366
45,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327
46,4.139,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995
47,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313
48,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326
49,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199
50,2.693000078,0.0,0.0,0.018772686,0.270842046,0.280876487,0.056565076,2.066004753
51,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,2.355650902
52,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407
53,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749
54,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741
55,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726
56,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945
57,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488
58,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,1.556862831
59,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945
60,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541
61,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,0.554633141
62,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136
63,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,1.462318659
64,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182
65,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176
66,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713
